Full Address,Latitude,Longitude,category,rating,no_of_rating,location,phone_no,type
"Tibetan Market Manali, Goa",32.2431872,77.1891761,Market,3.9,2300,"Manali, Goa",,
"Goa Market Panaji, Goa",15.498795,73.8225877,Market,4.1,437,"Panaji, Goa",,
"Sawal's Goa Shopping Centre Old Goa, Goa",15.5016657,73.9098613,Clothing store,4.1,14,"Old Goa, Goa",,
"Good Karma Treasure Shop Vagator, Goa",15.5931823,73.7520434,Second hand store,4.7,92,"Vagator, Goa",079722 46605,"In-store shopping,In-store pick-up"
"The Good Life Goa Panaji, Goa",15.4971604,73.8319587,Designer Clothing Store,4.9,51,"Panaji, Goa",,"In-store shopping,In-store pick-up"
"THE FLAME STORE ASSAGAO Assagao, Goa",15.5972579,73.7860874,Designer Clothing Store,4.6,37,"Assagao, Goa",,
"Jeans Shoppe Panaji, Goa",15.4974155,73.825525,Clothing store,4.8,193,"Panaji, Goa",080555 53121,In-store pick-up
"AND Mall De Goa Porvorim, Goa",15.5258767,73.8273303,Western apparel store,4.8,67,"Porvorim, Goa",091361 25715,Delivery
"Zantye's - Factory Outlet Panaji, Goa",15.4968905,73.8241633,Dry Fruit Store,4.3,997,"Panaji, Goa",0832 222 5144,
"Paper Boat Collective, Goa Sangolda, Goa",15.5434626,73.8125313,Boutique,4.4,287,"Sangolda, Goa",075074 70248,On-site services
"Sawaikar's Goan Cashews And Dry Fruits- Best Cashews in Goa Porvorim, Aradi Socorro, Goa",15.5396846,73.8168668,Dry Fruit Store,4.8,248,"Porvorim, Aradi Socorro, Goa",088066 18080,In-store shopping
"Goa Stories Panaji, Goa",15.5004827,73.827706,Souvenir store,5,7,"Panaji, Goa",,
"Caculo Mall Panaji, Goa",15.4864378,73.8178846,Shopping mall,3.9,10000,"Panaji, Goa",,In-store shopping
"Goa souvenir Handicraft Naveli, Goa",15.2766495,73.9170997,Shopping mall,4,15,"Naveli, Goa",,
"Big G Madgaon, Goa",15.272464,73.9627731,Shopping mall,3.2,1000,"Madgaon, Goa",,On-site services
"Tibetan Handicraft and souvenirs market Baga, Goa",15.5547145,73.7567691,Gift shop,4.1,55,"Baga, Goa",,
"Sacha's Shop Panaji, Goa",15.4961814,73.8254345,Designer Clothing Store,4.2,51,"Panaji, Goa",0832 222 2035,On-site services
"Mario Gallery Panaji, Goa",15.499623,73.8263572,Souvenir store,4.5,77,"Panaji, Goa",0832 242 1776,In-store shopping
"BODGOA Naveli, Goa",15.2645169,73.9594426,Boutique,4.4,16,"Naveli, Goa",,In-store shopping
"Mario Gallery Madgaon, Goa",15.2760225,73.9632886,Souvenir store,4.3,476,"Madgaon, Goa",0788 731 3875,"In-store shopping,In-store pick-up"
"Goa Shopping Centre Vasco Da Gama, Goa",15.3988931,73.8128136,Novelty store,3.6,16,"Vasco Da Gama, Goa",093710 35137,
"Goa Bazaar Hypermarket Old Goa, Goa",15.4980423,73.9210759,Hypermarket,4.1,398,"Old Goa, Goa",077868 08808,"In-store shopping,In-store pick-up"
"S. D. Prabhu Salgaonker & Sons Mapusa, Goa",15.5887195,73.8121078,Clothing store,4.9,42,"Mapusa, Goa",098224 88811,"In-store shopping,Delivery"
O.M.O Panaji,15.4991909,73.8329337,Clothing store,4.4,88,Panaji,0832 223 0353,
"MALL DE GOA Shop no. 12 First Floor Penha de Franc, Goa",15.5303183,73.8406616,Jewelry store,4.3,20,"Penha de Franc, Goa",,
"Mapusa Municipal Market Mapusa, Goa",15.588477,73.8121308,Market,3.9,23000,"Mapusa, Goa",0832 226 2203,
"Saum Boutique Panaji, Goa",15.4943196,73.821551,Boutique,4.8,29,"Panaji, Goa",095117 21485,"In-store shopping,In-store pick-up"
"Anjuna Flea Market Anjuna, Goa",15.572076,73.7423905,Market,4,1600,"Anjuna, Goa",,On-site services
"Shree Krishna Cashews and Zantyes Cashew Panaji, Goa",15.4987495,73.8229636,Dry Fruit Store,4.2,250,"Panaji, Goa",,"In-store pick-up,Delivery"
"Sosas Panaji, Goa",15.4979712,73.8321854,Clothing store,4.1,22,"Panaji, Goa",,"In-store shopping,Kerbside pickup"
"Arpora Saturday Nite Bazaar Saturday Market Arpora, Goa",15.5678619,73.7660795,Shopping mall,4,372,"Arpora, Goa",,
"Umiya Mercado Madgaon, Goa",15.2645235,73.9502706,Shopping mall,4.1,1400,"Madgaon, Goa",0832 254 0334,
"Simonia Stores Mapusa, Goa",15.5883726,73.8114755,Bakery and Cake Shop,4.3,263,"Mapusa, Goa",096073 51182,"Takeaway,Delivery"
Akbar Store Goa,15.4988728,73.8226853,Clothing store,4.7,18,Goa,098221 47115,
"Galleria of Gem's Goa - Best Jewellery shops in cavelossim | Diamond Jewellery in Cavelossim | Pashmina Shops in Cavelossim Mobor Beach, Goa",15.1741353,73.9461831,Jewelry store,5,16,"Mobor Beach, Goa",,Delivery
"Anjuna market Anjuna, Goa",15.5870153,73.7420698,Beach clothing store,3.9,13,"Anjuna, Goa",,
"Pastry Cottage Panaji, Goa",15.4968327,73.8259678,Cafe,3.9,236,"Panaji, Goa",084462 55674,"Dine-in,Takeaway"
"BHAVANA SWEET MART Madgaon, Goa",15.2699965,73.9646368,Sweet shop,4.9,19,"Madgaon, Goa",092842 01335,"In-store shopping,Delivery"
"Margao Market Madgaon, Goa",15.274736,73.957112,Market,4.1,444,"Madgaon, Goa",,
"The Goa Collective Bazar Vagator, Goa",15.5931492,73.7423552,Market,4.5,118,"Vagator, Goa",,On-site services
"Swaruchi Boutique Kncept Madgaon, Goa",15.2829188,73.9658106,Women's clothing store,4.2,285,"Madgaon, Goa",079726 56040,"In-store shopping,In-store pick-up"
"THE SMOKE EXPERIENCE Calangute, Goa",15.5348846,73.7640749,Hookah store,5,346,"Calangute, Goa",0788 777 7866,"In-store shopping,Kerbside pickup"
Donapaula Market Goa,15.4599157,73.8037477,Market,3.7,143,Goa,,
"Cotton Village Panaji, Goa",15.4996779,73.8264448,Clothing store,4.3,23,"Panaji, Goa",096070 08886,Delivery
"Sweet Nation Panaji, Goa",15.493062,73.8192384,Indian sweets shop,4.5,1300,"Panaji, Goa",096070 09374,"Dine-in,Takeaway"
"Old Goa Shoping Center Old Goa, Goa",15.4994865,73.909344,Saree Shop,4,1,"Old Goa, Goa",084593 77284,In-store shopping
"Goa Selection | Casino DressCode, Shoes Hawai Shirts, Goa Print Clothes for men & women | Panaji, Goa",15.5007928,73.8289434,Clothing store,4.7,3,"Panaji, Goa",,Delivery
"Louis Philippe - Mall De Goa Bardez, Goa",15.525843,73.827305,Men's clothing store,3.9,37,"Bardez, Goa",0832 241 3081,"In-store shopping,Delivery"
"Curves Goa Calangute, Goa",15.5341534,73.7640777,Boutique,4.1,47,"Calangute, Goa",099759 61035,
"Agassaim Sausages, 4Brothers sausages & pork meat Agaçaim, Goa",15.4354616,73.8947896,Store,4.5,133,"Agaçaim, Goa",,
"Anand Store Mardol, Goa",15.4412001,73.9743154,Sweet shop,4.6,49,"Mardol, Goa",0832 234 3792,Delivery
"Goa Kaju Panaji, Goa",15.4975407,73.8358643,Dry Fruit Store,4.7,64,"Panaji, Goa",099236 33433,
"Goan Boutique Dona Paula, Goa",15.4518903,73.8031458,Clothing store,4,2,"Dona Paula, Goa",094220 58197,"In-store shopping,Delivery"
"Mr Baker 1922 Panaji, Goa",15.4997226,73.8287759,Bakery and Cake Shop,4.3,554,"Panaji, Goa",097304 86959,"Dine-in,Kerbside pickup"
"Govind General Store Vodlemol Cacora, Goa",15.239587,74.1227267,General store,4.2,28,"Vodlemol Cacora, Goa",080876 61121,
"Confeitaria 31 De Janeiro Panaji, Goa",15.4975154,73.8313873,Bakery and Cake Shop,4.3,1500,"Panaji, Goa",0832 222 5791,
"Goa Fashion Madgaon, Goa",15.2750593,73.9582498,Clothing Accessories Store,5,4,"Madgaon, Goa",093250 64932,In-store shopping
"Carasid Bakery Panaji, Goa",15.4828506,73.8114048,Cake shop,4.1,396,"Panaji, Goa",095183 49675,"Dine-in,Takeaway"
"Velha Goa Galeria Panaji, Goa",15.4955939,73.8316922,Tile store,4.3,112,"Panaji, Goa",0832 242 6628,
"Jila Bakers and confectioners Loutolim, Camorlim, Goa",15.332231,73.9894786,Bakery and Cake Shop,4.5,1300,"Loutolim, Camorlim, Goa",0832 277 7224,"Takeaway,No-contact delivery"
"Shehnai Hall Ponda, Goa",15.3991077,74.0049282,Clothing store,4,72,"Ponda, Goa",,
"The Ghodges Madgaon, Goa",15.2744858,73.9592595,Dry Fruit Store,4.6,22,"Madgaon, Goa",,
"Aunty Maria Panaji, Goa",15.4972056,73.8248365,Coffee shop,4.1,1900,"Panaji, Goa",0832 222 6291,
"FAMOUS WINE STORE Madgaon, Goa",15.2676814,73.9658105,Wine store,5,2,"Madgaon, Goa",,
"Anjona Bakery Btalbhati, Goa",15.3008623,73.9198789,Bakery and Cake Shop,4.1,352,"Btalbhati, Goa",098816 26122,Delivery
"Pastry Palace Madgaon, Goa",15.2859239,73.9786914,Bakery and Cake Shop,4.1,568,"Madgaon, Goa",0832 273 3009,"In-store pick-up,Delivery"
"Calangute Beach Market Calangute, Goa",15.545126,73.7562303,Market,4.2,152,"Calangute, Goa",,
"Big Mishra Pedha Madgaon, Goa",15.2843689,73.9749495,Indian sweets shop,4,225,"Madgaon, Goa",094491 91207,Delivery
"Crossword, Magsons Tower - Campal, Goa Panaji, Goa",15.4874713,73.8131667,Book store,4.3,189,"Panaji, Goa",085302 06759,
"Babka Goa - Coffee Bar | Bakery | Patisserie, Anjuna Anjuna, Goa",15.5877394,73.7621762,Coffee shop,4.4,2000,"Anjuna, Goa",082620 41326,
"Vaz Enterprises Colva Liquor Supermarket Seraulim, Salcete, Goa",15.2790044,73.9334725,Liquor Shop,4.6,1700,"Seraulim, Salcete, Goa",095271 92169,"In-store shopping,Kerbside pickup"
"TukTuk Benaulim, Goa",15.2591649,73.9249404,Boutique,4.5,62,"Benaulim, Goa",090490 17182,
"Mirza Outfit Davarlim, Goa",15.277091,73.9868628,Clothing store,5,121,"Davarlim, Goa",,"In-store shopping,In-store pick-up"
"Gomantak Dry Fruits Panaji, Goa",15.4975611,73.8260312,Dry Fruit Store,4.8,58,"Panaji, Goa",098224 86476,In-store shopping
"HANAMANTH FLOWER'S SHOP Panaji, Goa",15.4970239,73.8358128,Flower market,4,2,"Panaji, Goa",,In-store shopping
"Truffles Cakeshop Panaji, Goa",15.4718046,73.811234,Cake shop,3.9,316,"Panaji, Goa",088883 46619,"In-store pick-up,Delivery"
"Caro Center Madgaon, Goa",15.2722738,73.9577453,Clothing store,3.8,211,"Madgaon, Goa",0832 271 0337,"In-store shopping,Kerbside pickup"
"Luizinha Stores Mapusa, Goa",15.588779,73.811545,Grocery store,4.3,12,"Mapusa, Goa",098234 38751,
"Garrafao - Liquor & Wine Mart Panaji, Goa",15.4890058,73.8192022,Liquor Shop,5,639,"Panaji, Goa",094052 17769,"In-store shopping,Kerbside pickup"
"Literati Bookshop & Cafe Calangute, Goa",15.5312076,73.763455,Book store,4.6,301,"Calangute, Goa",0832 227 7740,"In-store shopping,Kerbside pickup"
"Houses of Goa Museum Penha de Franc, Goa",15.5303209,73.8406749,Museum,4.2,3300,"Penha de Franc, Goa",0832 241 1276,
"German cafe ( CALANGUTE) Calangute, Goa",15.5484656,73.764755,Cafe,4.4,1200,"Calangute, Goa",088942 07238,"Dine-in,Takeaway"
"Salasar Balaji Madgaon, Goa",15.2848384,73.9774999,General store,4.3,220,"Madgaon, Goa",,On-site services
"Cremeux Panaji, Goa",15.5005677,73.8282737,Cafe,4.3,3200,"Panaji, Goa",073502 77197,
"Chitari Heritage Art and Craft Cuncolim, Goa",15.1706808,74.0074989,Craft store,4.4,138,"Cuncolim, Goa",078219 21203,"In-store shopping,In-store pick-up"
"Big Mishra Pedha Madgaon, Goa",15.2843689,73.9749495,Sweet shop,3.8,332,"Madgaon, Goa",,"In-store shopping,Delivery"
"The Shop Pilern, Goa",15.5255202,73.795268,Clothing store,5,10,"Pilern, Goa",,
"Goa Bagayatdar Bazar Sadar Branch Ponda, Goa",15.3957628,74.0038607,Grocery store,4.2,735,"Ponda, Goa",0832 231 2513,
"Caravela Cafe And Bistro Panaji, Goa",15.4997758,73.8316517,Cafe,4.5,2600,"Panaji, Goa",096994 13186,"Dine-in,Takeaway"
"Mario Gallery Salvador du Mundu, Goa",15.5302975,73.8409248,Souvenir store,4.5,197,"Salvador du Mundu, Goa",0832 241 0716,"In-store shopping,In-store pick-up"
"Soul Gems Varca, Goa",15.2382654,73.9424967,Store,4.1,7,"Varca, Goa",,
"Kittys Corner Cashew Nuts & Dry Fruits Madgaon, Goa",15.2718121,73.9570973,Dry Fruit Store,3.2,49,"Madgaon, Goa",,
"Black Vanilla Gourmet Panaji, Goa",15.4926996,73.8178036,Gourmet grocery store,4.2,734,"Panaji, Goa",077190 95550,"Dine-in,Takeaway"
"Alexandra-faye | Fashion Designer Goa Panaji, Goa",15.4959318,73.8238256,Fashion designer,4.8,18,"Panaji, Goa",093093 76560,
"The Coffee Concept Goa Calangute, Goa",15.5341272,73.7642893,Coffee shop,4,93,"Calangute, Goa",099934 67859,"Dine-in,Drive-through"
"Cafe Central Panaji, Goa",15.4979341,73.8270253,Bakery and Cake Shop,4.5,1100,"Panaji, Goa",0832 242 6451,Delivery
"Goa Fashion Boutique Porvorim, Penha de Franc, Goa",15.536607,73.8241423,Clothing store,5,2,"Porvorim, Penha de Franc, Goa",070208 82977,
"Pastry Palace Canacona, Goa",15.0063824,74.0464622,Bakery and Cake Shop,4.4,78,"Canacona, Goa",096735 63850,
"Toms Wine & Liquor Panaji, Goa",15.4986396,73.8233236,Liquor Shop,4.5,972,"Panaji, Goa",093076 78361,"In-store shopping,In-store pick-up"
"St. Ana Bakery Ponda, Goa",15.4012089,74.0131211,Bakery and Cake Shop,4.4,293,"Ponda, Goa",099607 19301,
"Vaz Enterprises Margao Liquor Store Madgaon, Goa",15.2732029,73.9589081,Liquor Shop,4.5,395,"Madgaon, Goa",070284 44804,
"Vishal Mega Mart Madgaon, Goa",15.272296,73.9766335,Hypermarket,3.6,6300,"Madgaon, Goa",072178 88438,
"Borkars Super Stores Madgaon, Goa",15.2800259,73.9774982,Supermarket,3.8,429,"Madgaon, Goa",0832 272 6371,Delivery
"Top Shop Calangute, Goa",15.5455633,73.7593289,Clothing store,3.3,4,"Calangute, Goa",097654 51308,
"The Rasoda, Old Goa - Dine In, Takeaway & Mithai Shop Panaji, Goa",15.4862355,73.9022851,Rajasthani Restaurant,4.3,2800,"Panaji, Goa",084477 43753,"Dine-in,Takeaway"
"GOA SHOPPING STORES Old Goa, Goa",15.5020925,73.9093416,Clothing store,,,"Old Goa, Goa",088679 98179,In-store shopping
"Patnem Chai Shop Canacona, Goa",14.9984814,74.0361089,Cafe,4.7,315,"Canacona, Goa",098815 79189,"Dine-in,Takeaway"
"Gem Stones Canacona, Goa",15.0130672,74.0225843,Jewelry store,5,2,"Canacona, Goa",,In-store shopping
"The liquor club Santemol, Goa",15.2966768,73.9734643,Liquor Shop,4.7,672,"Santemol, Goa",099231 39400,"In-store shopping,Delivery"
"RAJPUROHIT SWEET MART AND DRY FRUITS Madgaon, Goa",15.2720314,73.9700099,Sweet shop,3.7,29,"Madgaon, Goa",,Delivery
"Bakery Pausenbrot Benaulim, Goa",15.2584712,73.9312472,Bakery and Cake Shop,4.4,381,"Benaulim, Goa",084592 71340,"Dine-in,Takeaway"
"Pastry Palace colva Colva, Goa",15.2779602,73.9268845,Bakery and Cake Shop,4.6,21,"Colva, Goa",098229 84978,
"Anand Keni Sweet Mart Mapusa, Goa",15.5885296,73.8112205,Sweet shop,4.1,39,"Mapusa, Goa",0832 225 0361,
"Cocobite Ponda, Goa",15.3330925,74.0208464,Chocolate shop,4.8,65,"Ponda, Goa",090497 76726,"Delivery,No dine-in"
"Babu Tea & Coffee Powder Madgaon, Goa",15.2710911,73.9598785,Tea store,4.2,69,"Madgaon, Goa",088880 50007,"Takeaway,Delivery"
"Big Mishra Pedha ,Jaymalal Sweets Ijorshi, Goa",15.3899065,73.8488835,Sweet shop,4.1,29,"Ijorshi, Goa",,"In-store shopping,In-store pick-up"
"Golden Anchor Margao Liquor Store Madgaon, Goa",15.2780183,73.9759441,Liquor Shop,4.9,92,"Madgaon, Goa",076664 38859,In-store shopping
"1930 Vasco Vasco Da Gama, Goa",15.3970725,73.8129321,Shopping mall,4.1,1400,"Vasco Da Gama, Goa",085519 30011,
"Neselle Bakers Goa. Salvador do Mundo, Goa",15.5318169,73.8573296,Bakery and Cake Shop,4.9,54,"Salvador do Mundo, Goa",093072 26552,
"Lisbon Fancy Store Panaji, Goa",15.498596,73.8282359,Baby clothing store,4,4,"Panaji, Goa",0832 242 1892,
"Eva Cafe Anjuna, Goa",15.5802417,73.7382778,Cafe,4.2,3000,"Anjuna, Goa",073500 55717,
"Baskin Robbins, Candolim Calangute Road Calangute, Goa",15.5342178,73.7641564,Ice Cream,4.2,2200,"Calangute, Goa",098817 74933,
"Star Furniture Goa Nuvem, Madgaon, Goa",15.3091228,73.9522246,Home goods store,5,22,"Nuvem, Madgaon, Goa",,
"Broadway Book Centre Panaji, Goa",15.4948628,73.8207173,Book store,4.4,614,"Panaji, Goa",098224 88564,
"Filipino's Mini Mart In Goa Raia, Goa",15.3152617,73.9832559,Grocery delivery service,5,5,"Raia, Goa",077093 88582,
"Marc Brown - Cake Shop & Bakery Panaji, Goa",15.5001731,73.8309463,Bakery and Cake Shop,4.1,345,"Panaji, Goa",091300 95325,"Dine-in,Takeaway"
"Morning Star Bakery Madgaon, Goa",15.271243,73.9592856,Cake shop,3.9,11,"Madgaon, Goa",,Delivery
"Jackris bakery Benaulim Benaulim, Goa",15.2607396,73.946575,Bakery and Cake Shop,3.9,71,"Benaulim, Goa",095117 49925,
"The Temptation Margao 24x7 - Complete Food Shop Madgaon, Goa",15.2721958,73.9624222,Bakery and Cake Shop,4.1,1800,"Madgaon, Goa",020 7117 2808,"Dine-in,Takeaway"
"Monginis Cake Shop Panaji, Goa",15.377345,73.870683,Cake shop,3.2,81,"Panaji, Goa",092255 48011,
"Margao Electronics Madgaon, Goa",15.2723157,73.9572612,Electronics store,3.7,433,"Madgaon, Goa",0832 273 6686,"In-store pick-up,Delivery"
"The Shop Panaji, Goa",15.4986215,73.8331173,Clothing store,5,5,"Panaji, Goa",,In-store shopping
"Nicolau Bakery Raia, Goa",15.3194102,73.9835807,Bakery and Cake Shop,4.1,418,"Raia, Goa",078759 56183,
"Damro Furniture Nuvem, Goa",15.3179327,73.9418948,Furniture store,3.8,117,"Nuvem, Goa",0832 279 1488,Delivery
"Baker Point Madgaon, Goa",15.276117,73.9792588,Bakery and Cake Shop,4.3,306,"Madgaon, Goa",097653 29940,
"Jesu Tattoo & Art Studio: Best Tattoo Artist & Shop in North Goa Calangute, Goa",15.545347,73.7632713,Tattoo shop,4.9,836,"Calangute, Goa",098228 77024,On-site services
"Abbash pan Shop Davarlim, Goa",15.2770427,73.9866052,Paan shop,5,3,"Davarlim, Goa",,
"Golden Heart Emporium Book Store Madgaon, Goa",15.2756473,73.9575005,Book store,4.2,50,"Madgaon, Goa",0832 273 2450,Delivery
"Baked In Goa (authentic woodfired pizzeria & bar) Calangute, Goa",15.5381448,73.7617171,Pizza,4.7,1100,"Calangute, Goa",097677 15333,
"Cream Choc Gelato Panaji, Goa",15.4850099,73.810982,Ice Cream,4.6,1500,"Panaji, Goa",093731 63259,"Dine-in,Takeaway"
"Natural Ice Cream Madgaon, Goa",15.2717315,73.957667,Ice Cream,4.4,1500,"Madgaon, Goa",077220 57841,
"Carpe Diem Art Gallery, Learning Centre and Cafe Majorda, Goa",15.312839,73.9122136,Art center,4.4,263,"Majorda, Goa",088888 62462,"Dine-in,Takeaway"
"Zantye's Cashew Panaji, Goa",15.4983081,73.8360376,Wine store,4.6,16,"Panaji, Goa",098221 36755,
FB Cafe Goa Goa,15.538829,73.8203095,Patisserie,4.9,81,Goa,098202 20912,"In-store shopping,In-store pick-up"
"Jackris Madgaon, Goa",15.2721021,73.9599215,Cafe,3.6,165,"Madgaon, Goa",095117 49925,
"Mac Doulani - Bespoke Tailors Calangute, Goa, india Calangute, Goa",15.5400054,73.764393,Custom tailor,4.9,42,"Calangute, Goa",098221 25756,"Online appointments,On-site services not available"
"Major Bakery Tivim, Goa",15.6182491,73.8452957,Bakery and Cake Shop,3.9,1400,"Tivim, Goa",083800 95169,
"Himalaya Ice Cream Factory Madgaon, Goa",15.268044,73.9628778,Ice Cream,4.2,322,"Madgaon, Goa",0832 273 0916,
"Harman Chahawala Siolim, Goa",15.6268133,73.7658885,Tea store,4.4,24,"Siolim, Goa",,
"Himalaya Ice Cream Factory Madgaon, Goa",15.268044,73.9628778,Ice Cream,4.2,322,"Madgaon, Goa",0832 273 0916,
"Cafe Tato Panjim Church Panaji, Goa",15.4995842,73.8289475,Cafe,4.3,924,"Panaji, Goa",098905 44143,"Dine-in,Takeaway"
"The Chocolate Room Madgaon, Goa",15.2864353,73.9809636,Cafe,3.9,897,"Madgaon, Goa",098506 03662,"Dine-in,Kerbside pickup"
"Xanti Bakery Colva, Goa",15.2782486,73.9298602,Bakery and Cake Shop,4.1,274,"Colva, Goa",088881 19688,Delivery
"Santana bakery Sanguem, Goa",15.2279599,74.1515508,Bakery and Cake Shop,4.1,33,"Sanguem, Goa",,
"Sangam Bakery Ponda, Goa",15.4021546,74.0106789,Bakery and Cake Shop,4.4,366,"Ponda, Goa",091724 74667,
"Glory Bakery Benaulim, Goa",15.252547,73.9365825,Bakery and Cake Shop,4.7,3,"Benaulim, Goa",093730 20852,Takeaway
"King Crown Tattoo Studio Best Tattoo Artist Goa Goa One Of the Best Goa baga Baga, Mapusa, Goa",15.5551338,73.75557,Tattoo shop,4.9,1000,"Baga, Mapusa, Goa",099220 52671,Delivery
"Nanbai Madgaon, Goa",15.2715429,73.9636496,Cafe,4.5,474,"Madgaon, Goa",094055 03037,"Dine-in,Takeaway"
"Moksha Tattoo Studio Goa Calangute, Goa",15.5457045,73.7640492,Tattoo shop,4.6,1100,"Calangute, Goa",098817 73312,
Hari's German Bakery Goa,15.2604886,73.9276953,Cafe,4.1,451,Goa,,"Dine-in,Takeaway"
"Bakery Ribandar, Goa",15.5026899,73.8615755,Bakery and Cake Shop,4.6,25,"Ribandar, Goa",,
"Angel Tattoo Goa - Best Tattoo Studio In Goa - Best Tattoo Shop In Goa - Best Tattoo In Artist in Goa - Tattoo In Goa - Calangute, Goa",15.5565519,73.7547587,Tattoo shop,5,108,"Calangute, Goa",,
"The Mill Canacona, Goa",15.0110026,74.0278476,Cafe,4.5,990,"Canacona, Goa",075176 83611,"Dine-in,Takeaway"
"Goa Baking Company Panaji, Goa",15.4867174,73.8095589,Cake shop,4.3,16,"Panaji, Goa",0832 246 3333,"Dine-in,Takeaway"
"What's for Dessert? Benaulim, Goa",15.2516399,73.9337459,Bakery and Cake Shop,5,16,"Benaulim, Goa",077749 05395,
"Monginis Cake Shop Panaji, Goa",15.377345,73.870683,Cake shop,3.5,33,"Panaji, Goa",094038 80765,
"Jos Cabral & Co. Bicycle Shop Ponda, Goa",15.397622,74.003135,Bicycle Shop,4.4,81,"Ponda, Goa",083089 88775,"In-store shopping,Delivery"
"The Goan Kitchen Madgaon, Goa",15.2800339,73.9599457,Cafe,4.5,146,"Madgaon, Goa",080077 62121,"Dine-in,Kerbside pickup"
"Raiyani Steels Betora, Ponda, Goa",15.3855482,74.0319353,Furniture maker,4.2,104,"Betora, Ponda, Goa",097654 94214,
"Choco Decor homemade chocolates Ponda, Goa",15.4006838,74.0105539,Chocolate shop,4.9,8,"Ponda, Goa",097647 80627,
Walke Dairy Farm Goa,15.587774,73.810523,Dairy store,3.6,57,Goa,0832 291 0023,"In-store shopping,Delivery"
"Laxmi wines Ijorshi, Goa",15.3878816,73.8496669,Liquor Shop,4.4,34,"Ijorshi, Goa",090494 54447,Delivery
"Jackris Naveli, Goa",15.25606,73.9665169,Cafe,3.6,203,"Naveli, Goa",,
"Cashewnuts shop goa Panaji, Goa",15.4968999,73.8242028,Grocery store,,,"Panaji, Goa",,In-store shopping
"Cafe Tato Madgaon, Goa",15.274308,73.9589454,Cafe,4.1,1700,"Madgaon, Goa",0832 273 6014,
"Gomes Bakery Madgaon, Goa",15.2731424,73.9751305,Bakery and Cake Shop,4.6,10,"Madgaon, Goa",,Takeaway
"Ramesh Tattoo Panaji, Goa",15.4960971,73.8228423,Tattoo shop,4.6,178,"Panaji, Goa",095033 16561,Delivery
"Te Fitti Cafe Panaji, Goa",15.4953269,73.8215014,Cafe,4.6,489,"Panaji, Goa",070572 21122,"Dine-in,Kerbside pickup"
"PICK AND PACK SUPERSTORE Assolna, Goa",15.1803845,73.9723236,Supermarket,4.8,4,"Assolna, Goa",074988 33553,In-store shopping
"Rajkamal sweet and fast food Madgaon, Goa",15.2788972,73.9595508,Sweet shop,3.4,13,"Madgaon, Goa",,Delivery
"MilSim Goa PaintBall Nuvem, Goa",15.3220238,73.9401685,Paintball center,4.5,401,"Nuvem, Goa",095528 88000,
